Month,Department,Complaint Type,Location Type,Zipcode,Borough
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10475,BRONX
Febuary,Department of Housing Preservation and Development,APPLIANCE,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11415,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10473,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10454,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10003,MANHATTAN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10473,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10455,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10037,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10031,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10010,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10031,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10023,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11215,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11226,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10010,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11434,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11222,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10040,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10473,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10475,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10035,MANHATTAN
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11374,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10010,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10473,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,APPLIANCE,RESIDENTIAL BUILDING,11415,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10455,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10454,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11222,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10026,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11226,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10036,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10475,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10454,BRONX
Febuary,Department of Health and Mental Hygiene,Rodent,1-2 Family Mixed Use Building,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10031,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10010,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,CONSTRUCTION,RESIDENTIAL BUILDING,10473,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10035,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11104,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11373,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10010,MANHATTAN
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11374,QUEENS
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10456,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11420,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,11217,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10033,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10026,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10457,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11104,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11213,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10032,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10033,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10455,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11222,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11368,QUEENS
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10463,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10455,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10454,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10003,MANHATTAN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10003,MANHATTAN
Febuary,Department of Transportation,Curb Condition,Curb,10468,BRONX
Febuary,Department of Health and Mental Hygiene,Food Establishment,Other (Explain Below),11361,QUEENS
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10017,MANHATTAN
Febuary,Taxi and Limousine Commission,Taxi Complaint,Street,10009,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10002,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Other (Explain Below),10035,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10018,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10308,STATEN ISLAND
Febuary,Taxi and Limousine Commission,Taxi Complaint,Street,10022,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10025,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10025,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10462,BRONX
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10012,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Asbestos,3+ Family Apartment Building,10466,BRONX
Febuary,Department of Health and Mental Hygiene,Food Establishment,Other (Explain Below),11234,BROOKLYN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10019,MANHATTAN
Febuary,Department of Parks and Recreation,Dead Tree,Street,11357,QUEENS
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10029,MANHATTAN
Febuary,Department of Parks and Recreation,Damaged Tree,Street,11236,BROOKLYN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Other (Explain Below),11429,QUEENS
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,11209,BROOKLYN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10065,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,10025,MANHATTAN
Febuary,Department of Health and Mental Hygiene,Food Establishment,Restaurant/Bar/Deli/Bakery,11214,BROOKLYN
Febuary,Taxi and Limousine Commission,Taxi Complaint,Street,07481,Unspecified
Febuary,Taxi and Limousine Commission,Taxi Complaint,Street,10021,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10469,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11374,QUEENS
Febuary,Department of Housing Preservation and Development,APPLIANCE,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10472,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11235,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10472,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10035,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11385,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10456,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11355,QUEENS
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11213,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,11237,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10463,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10037,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11434,QUEENS
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10040,MANHATTAN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11208,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10469,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11235,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11212,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,APPLIANCE,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10040,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10456,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11694,QUEENS
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11235,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10035,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11213,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10469,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11235,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,10458,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11213,BROOKLYN
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11213,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,NONCONST,RESIDENTIAL BUILDING,11229,BROOKLYN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,11411,QUEENS
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,10460,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,10452,BRONX
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10453,BRONX
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11375,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10025,MANHATTAN
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11233,BROOKLYN
Febuary,Department of Housing Preservation and Development,ELECTRIC,RESIDENTIAL BUILDING,11374,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,10039,MANHATTAN
Febuary,Department of Housing Preservation and Development,PAINT - PLASTER,RESIDENTIAL BUILDING,10468,BRONX
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11212,BROOKLYN
Febuary,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,RESIDENTIAL BUILDING,11372,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11694,QUEENS
Febuary,Department of Housing Preservation and Development,PLUMBING,RESIDENTIAL BUILDING,11232,BROOKLYN
